Symbol,Entry,Exit,Entry_Price,Exit_Price,Type,PnL,PnL_%,Reason
QUAL3<XBSP>,2023-01-03,2023-01-04,5.823149621,5.921182443,short,-87051.31049629487,-0.67673434176088,Above VWAP (Short)
CVCB3<XBSP>,2023-01-03,2023-01-04,3.98,4.25,short,-587842.4032000005,-5.7266530673167875,Stop Loss (Short)
GOAU4<XBSP>,2023-01-03,2023-01-04,10.38061712,10.46899699,short,12052.58455386106,0.14713542911747696,Above VWAP (Short)
BBDC4<XBSP>,2023-01-03,2023-01-05,10.7889407,11.2898558,short,-581399.763449356,-3.606789214301182,Stop Loss (Short)
IRBR3<XBSP>,2023-01-04,2023-01-05,29.1,27.9,long,-537935.2806000039,-4.219491848357857,Stop Loss
CPLE3<XBSP>,2023-01-04,2023-01-05,5.814988743,5.875924254,short,-4879.671518770978,-0.047429896436760814,Above VWAP (Short)
NATU3<XBSP>,2023-01-04,2023-01-05,10.57909899,11.23189275,long,493459.7635095753,6.064534309855033,Take Profit
PORT3<XBSP>,2023-01-03,2023-01-06,8.892214004,8.994033249,short,-29007.626797620207,-0.14360215403879767,Above VWAP (Short)
SBFG3<XBSP>,2023-01-05,2023-01-06,10.4142082,11.08579583,short,-869137.6201685201,-5.394815087790616,Stop Loss (Short)
TEND3<XBSP>,2023-01-05,2023-01-09,4.491428969,4.375020443,long,-342637.84727939777,-2.6891035487108543,Below VWAP
RAIZ4<XBSP>,2023-01-05,2023-01-10,2.962259702,3.072312694,short,-276421.73372015357,-2.688287403764011,Stop Loss (Short)
ENGI11<XBSP>,2023-01-05,2023-01-11,35.80141492,36.80575933,short,-146666.55544125754,-1.787445978649406,Above VWAP (Short)
BPAN4<XBSP>,2023-01-11,2023-01-12,5.552160371,5.439235075,long,-223985.65950289182,-2.131766544279564,Below VWAP
CMIN3<XBSP>,2023-01-06,2023-01-13,3.071421319,3.271420846,long,704856.4976835642,6.405222659935999,Take Profit
AMER3<XBSP>,2023-01-12,2023-01-13,272.0,315.0,short,-1547759.0,-14.662201514269075,Stop Loss (Short)
SRNA3<XBSP>,2023-01-09,2023-01-16,8.87,8.95,long,90394.77806999907,0.8011154572597557,Below VWAP
AMER3<XBSP>,2023-01-13,2023-01-16,315.0,194.0,short,5042228.1,39.022473675939025,Take Profit (Short)
CAML3<XBSP>,2023-01-13,2023-01-17,6.392822063,6.685826408,short,-365834.3415427655,-3.5478547923834656,Stop Loss (Short)
CEAB3<XBSP>,2023-01-16,2023-01-17,2.586598796,2.491152346,long,-492936.8343355637,-3.7862506482941356,Stop Loss
AMER3<XBSP>,2023-01-16,2023-01-18,194.0,174.0,short,1176422.8000000007,11.197305297540069,Take Profit (Short)
PORT3<XBSP>,2023-01-17,2023-01-20,8.739485138,8.909183878,short,-121189.26614129543,-0.9324233332618599,Above VWAP (Short)
HBSA3<XBSP>,2023-01-17,2023-01-20,1.915896986,2.019205157,short,-451035.42650114186,-4.348670170760071,Stop Loss (Short)
AMER3<XBSP>,2023-01-20,2023-01-23,71.0,80.0,short,-1507204.9000000004,-11.560451819829874,Stop Loss (Short)
PCAR3<XBSP>,2023-01-10,2023-01-24,7.608311782,8.341393538,long,1055756.111799907,9.525749158139284,Take Profit
TAEE11<XBSP>,2023-01-06,2023-01-26,27.61925081,29.2798822,long,812696.2522742692,5.906679980765081,Take Profit
OIBR3<XBSP>,2023-01-26,2023-01-27,22.78834505,21.10398911,long,-882653.3454208262,-7.483820533969821,Stop Loss
KLBN4<XBSP>,2023-01-20,2023-01-30,3.023886481,3.039236159,short,50720.84866272472,0.48751066587447756,Above VWAP (Short)
